provider,category,asset_scope,price_semantics,transport_auth,timing_sequence_depth_history,public_cost,internal_use_rights,derived_data_rights,commercial_redistribution_rights,raw_retention_rights,blocksize_onchain_publication_rights,lineage_group,official_sources,decision_note,accessed_date
"Swarm","tokenized_issuer_platform","Tokenized securities/RWAs and crypto authorized assets","Platform/API and smart-contract solution for issuance/trading; no public price/NAV feed contract located in reviewed official docs","Partner/API contact; public docs/catalog","No public timestamp/depth/replay specification located","Quote required","Unknown","Unknown","Unknown","Unknown","Unknown","swarm_platform; exact asset and venue/pool lineage required","https://swarm.com/platform/|https://docs.swarm.com/reference/authorized-assets","Partner/API discovery required. Do not infer prices from token state or catalog metadata.","2026-07-16"
"Securitize","tokenized_issuer_platform","Tokenized securities and funds; investor/issuer workflows","Connect/Domain APIs cover identity, wallets, tokens and investment flows; no general public market-price/NAV feed found","OAuth/client ID/application secret; onboarding/customer-success provisioned","Operational APIs; no general market-data freshness/depth/replay specification found","Quote required","Agreement-scoped","Agreement-scoped","Unknown; agreement required","Agreement-scoped","Unknown","securitize_transfer_agent_or_issuer; NAV may originate with each fund administrator","https://issuersupport.securitize.io/hc/en-us/articles/33015702531863-Getting-Started-with-the-Securitize-APIs|https://sec-connect-api-docs.securitize.io/|https://sec-connect-api-docs.securitize.io/scope-of-access","Use as issuer/TA integration, not as a generic price provider. Request exact NAV/webhook fields and rights per fund.","2026-07-16"
"WisdomTree Connect","tokenized_issuer","15 supported tokenized-fund tickers across money market, equity, fixed income and allocation products","Official daily NAV, shares, AUM, accruals, performance and holdings; separate subscription/redemption/order workflows and WTGXX 24/7 dealer settlement","Fund Data REST uses x-wt-dataspan-key; Connect API uses OAuth2 bearer token; institutional onboarding","NAV endpoint includes valuation date; history variants and two-hour cache on daily aggregates; no L2 book for fund data","Quote required; no public API subscription price","Agreement-scoped","Agreement-scoped","Unknown","Agreement-scoped","Unknown; official NAV can be a reference only unless written republishing rights are granted","wisdomtree_official_nav; dealer execution and official NAV are distinct semantics but same issuer family","https://docs.wisdomtreeconnect.com/|https://docs.wisdomtreeconnect.com/dataspan/nav|https://docs.wisdomtreeconnect.com/dataspan/aggregates|https://www.wisdomtreeconnect.com/terms-of-service","High-value partner target: official identifiers and NAV history exist. Keep official NAV separate from 24/7 dealer quote/executable price.","2026-07-16"
"Spiko","tokenized_issuer","USD and EUR tokenized UCITS money-market funds","Official NAV calculated daily by CACEIS; onchain Oracle/Chainlink AggregatorV3-compatible feed; NAV is not market BidAsk","Public onchain contracts/RPC; platform access for transactions","Daily official NAV; Chainlink path described as real-time reporting of the latest NAV, but source valuation remains daily; no book depth","No oracle subscription price published; RPC/gas costs only for reading","Onchain read use intended","Unknown","Unknown","Public-chain retention possible subject to RPC terms","Unknown for republishing as Blocksize feed","spiko_caceis_nav; Spiko relayer and Chainlink publication are correlated representations of the same CACEIS NAV","https://tech.spiko.io/posts/spiko-smart-contracts/|https://www.spiko.io/blog/spiko-in-collaboration-with-caceis-integrates-chainlink-infrastructure-to-bring-nav-data-onchain|https://www.spiko.io/blog/spiko-chainlink-ccip","Authoritative NAV candidate, not independent twice when read from both Spiko and Chainlink contracts.","2026-07-16"
"Superstate","tokenized_issuer","USTB and USCC tokenized funds","Daily NAV/AUM/yield API; USTB continuous price extrapolated from latest two NAV checkpoints; daily Chainlink NAV/S; onchain redemption/subscription calculators","Public REST examples plus some JWT/API-key endpoints; public EVM/SVM contracts","Daily NAV and continuous extrapolated oracle; block/slot timestamps onchain; holdings endpoints; no market book","No public API price; contact for API key; network gas/RPC costs","Public information/onchain read use intended","Unknown","Unknown","Unknown","Unknown for Blocksize republication; native oracle is explicitly consumable by smart contracts","superstate_nav; continuous extrapolation and daily Chainlink/Pyth representations remain one issuer-NAV lineage","https://docs.superstate.com/introduction-to-superstate/api|https://docs.superstate.com/welcome-to-superstate/smart-contracts|https://docs.superstate.com/superstate-funds/ustb/income-fees-and-yield","Strong authoritative NAV/redemption-rate lane. Label continuous price as extrapolated NAV, not an exchange price.","2026-07-16"
"Franklin Templeton / Benji","tokenized_issuer","FOBXX/BENJI and other Benji-platform tokenized funds on multiple public chains","Official fund share record; BENJI represents a fund share and accrues yield; no public executable quote/book or public NAV API schema located","Institutional web/API access referenced; public contract addresses; onboarding required","Daily yield distributions and blockchain records; official transfer-agent record; no public price replay contract located","Quote required","Agreement-scoped","Agreement-scoped","Unknown","Unknown","Unknown","franklin_transfer_agent_nav; all chain deployments are one fund/TA source","https://digitalassets.franklintempleton.com/benji/|https://digitalassets.franklintempleton.com/benji/benji-contracts/|https://www.franklintempleton.com/press-releases/news-room/2026/franklin-templeton-stellar-development-foundation-mark-five-years-of-benji-the-first-u.s.-registered-tokenized-money-market-fund","Partner for official NAV/TA data. Token balance and daily yield minting are not standalone market prices.","2026-07-16"
"OpenEden","tokenized_issuer","TBILL tokenized US Treasury fund","NAV per token; onchain price oracle used for subscriptions; daily/monthly administrator NAV; no executable market depth","Public onchain contracts/RPC; investor subscription requires KYC/whitelist","NAV per token formula and daily reports; block-tagged oracle reads; no public L2/replay API specification","No public market-data price; investor fees include 5 bps redemption and 30 bps annual expense ratio","Onchain read use intended","Unknown","Unknown","Public-chain retention possible subject to RPC terms","Unknown","openeden_fund_nav; administrator report and onchain oracle are one fund lineage","https://docs.openeden.com/tbill/token-price|https://docs.openeden.com/tbill/trust-and-transparency|https://docs.openeden.com/tbill/subscriptions|https://docs.openeden.com/tbill/faq","Authoritative NAV candidate only. Preserve valuation date and do not infer continuous executable liquidity from 24/7 contract settlement.","2026-07-16"
"Matrixdock","tokenized_issuer","XAUm gold, XAGm silver, STBT Treasury token","Issuer mint/redeem quote and reserve/transparency data; XAUm unit is one troy ounce; no public general price API found","Public website/transparency and onchain contracts; primary service permissioned","Website shows current mint/redeem quotes and reserve/supply updates; no documented sequence/history API or L2","Quote required for integration","Unknown","Unknown","Unknown","Unknown","Unknown","matrixdock_issuer_quote; external Chainlink XAU/USD or SmartData may be upstream and must be tagged","https://www.matrixdock.com/xaum|https://www.matrixdock.com/transparency/underlying-assets|https://www.matrixdock.com/blog/announcements/gold-token-xaum","Reference/primary quote candidate after exact contract mapping. Website quote is not evidence of API/redistribution rights.","2026-07-16"
"Midas","tokenized_issuer","mTBILL, mBASIS, mBTC, mEDGE and other mTokens","Issuer/reference-value oracle; daily independent verification; instant redemption uses designated oracle price but issuer redemption amount may differ","Public EVM oracle contracts/RPC; app/onboarding for issuance/redemption","Block-tagged onchain values; daily attestation for mTBILL; no native market depth","No market-data subscription price; RPC/gas costs","Onchain read use intended","Unknown","Unknown","Public-chain retention possible subject to RPC terms","Unknown","midas_reference_oracle; verification agent and issuer oracle are not separate price sources","https://docs.midas.app/defi-integration/price-oracle|https://docs.midas.app/protocol-mechanics/smart-contracts|https://docs.midas.app/tokens/mtbill/independent-reporting","Useful exact redemption/reference lane. Keep explicit disclaimer that oracle is reference and redemption amount may differ.","2026-07-16"
"Pyth Core","oracle","Crypto, equities, ETFs, FX, commodities/metals and other listed feed IDs","Robust aggregate price plus confidence; not executable depth. Publisher contributions aggregated on Pythnet; market hours/status matter","Hermes REST/streaming and onchain pull/push; API key becomes required 2026-07-31 for upgraded Core access","~400 ms product target; publish time, confidence and feed ID; historical/replay via Hermes subject to service changes; no publisher-level observations exposed downstream","Onchain update fee varies by chain; e.g. Ethereum/Base/Arbitrum 0.000004 ETH per feed update as documented; API subscription terms may apply","Permissionless onchain consumption is documented","Unknown","Unknown for a commercial offchain API built from Pyth","Agreement/service-dependent","Unknown for repackaging into a competing Blocksize oracle; native use in Blocksize contracts is supported","pyth_aggregate; one Pyth feed counts as one lineage regardless of publisher count; do not count NOBI/TTMzero separately without publisher-level observations","https://docs.pyth.network/price-feeds|https://docs.pyth.network/price-feeds/core/how-pyth-works|https://docs.pyth.network/price-feeds/core/current-fees|https://docs.pyth.network/price-feeds/core/fetch-price-updates|https://docs.pyth.network/price-feeds/core/best-practices","Good reference/guardrail input, not block-size VWAP. Treat publisher count as robustness metadata, not accessible independent inputs.","2026-07-16"
"Pyth Pro","oracle_commercial","500+ feeds across crypto, US equities, FX, metals/commodities and indexes in Terminal; exact entitlements by package","Aggregate price/confidence/publisherCount; optional experimental best bid/ask; market-session state; signed EVM/Solana payloads; funding-rate feed types","Authenticated WebSocket/REST with bearer API key; three redundant stream endpoints","1 ms to 1 s configured channels; microsecond timestamps; carried-forward prices require feedUpdateTimestamp checks; history API; connection/feed/channel limits set by service agreement","Free trial without card; paid tiers exist but exact production/redistribution price not exposed in reviewed page, so quote/agreement required","Agreement-scoped","Agreement-scoped","Agreement-scoped","Agreement-scoped","Agreement-scoped; signed payload support does not waive commercial rights","pyth_pro_aggregate; correlated with Pyth Core where same publisher set/instrument","https://docs.pyth.network/price-feeds/pro|https://docs.pyth.network/price-feeds/pro/pyth-terminal|https://docs.pyth.network/price-feeds/pro/payload-reference|https://docs.pyth.network/price-feeds/pro/rate-limits|https://docs.pyth.network/price-feeds/pro/subscribe-to-prices","Potential partner substitute for client-used TradFi symbols, but obtain written redistribution, raw retention and onchain-publication rights. Experimental bid/ask is not production depth.","2026-07-16"
"NOBI Labs","oracle_publisher","NOBI claims crypto CEX/DEX, US/Asian/exotic equities, FX, 24/7 commodities, 35+ chains, 75+ DEXs and 2,000+ pairs","Publisher claims real-time feeds and 24/7 commodity coverage; Pyth announced NOBI contributes proprietary data. Exact aggregation and upstream construction are not public","Partner/contact; Pyth publisher path","No public field schema, timestamp SLA, rate limits, replay policy or source-by-source methodology located","Quote required","Unknown","Unknown","Unknown","Unknown","Unknown","nobi_proprietary; if observed only inside Pyth aggregate, cannot be counted separately","https://labs.usenobi.com/|https://www.pyth.network/blog/new-pyth-data-provider-nobi|https://legacy.pyth.network/publishers","Do not infer how NOBI licenses or derives TradFi data. Public evidence does not establish reproducible upstream lineage or copyable rights.","2026-07-16"
"TTMzero","oracle_publisher_vendor","US equities, FX and metals contributed to Pyth; vendor offers evaluated real-time prices, derivatives/bonds and structured-product valuation","Model-driven evaluated prices/indications and valuations; TTMzero says it has direct access to major exchanges, broker platforms and interbank markets","Commercial REST/WebSocket integrations; Pyth publisher path","Real-time vendor products; no public SLA/rate limit/replay entitlement located","Quote required","Agreement-scoped","Agreement-scoped","Agreement-scoped","Agreement-scoped","Agreement-scoped","ttmzero_evaluated; Pyth observation is not independent from direct TTMzero for overlapping instruments","https://ttmzero.com/about-us/|https://ttmzero.com/|https://www.pyth.network/blog/new-pyth-data-provider","Plausible partner for evaluated TradFi prices, but methodology, source list, licenses and rights are contract-specific. Do not copy or infer upstream arrangements.","2026-07-16"
"Chainlink Data Feeds / SmartData","oracle","Crypto, commodities, FX, indices and tokenized-asset/NAV feeds","Aggregated market-representative reference or issuer/fundamental/hybrid SmartData; push heartbeat/deviation; not executable depth","Public onchain contracts via RPC","Onchain round/timestamp; heartbeat/deviation varies per feed; deprecation risk; no generic historical entitlement beyond chain archive","No per-read subscription published; network RPC/gas; sponsorship/economic model feed-specific","Onchain consumption intended","Unknown","Unknown for repackaged commercial API","Public-chain retention possible subject to RPC terms","Unknown for republishing under Blocksize brand","chainlink_aggregate; SmartData/NAV must keep issuer administrator lineage; multiple chain deployments are not independent","https://chain.link/data-feeds|https://data.chain.link/|https://docs.chain.link/|https://chain.link/faqs","Strong reference/NAV source. Never label as executable; verify heartbeat, deviation, session and deprecation state per exact feed.","2026-07-16"
"Chainlink Data Streams","oracle_commercial","High-frequency crypto, 24/5 equities and expanded APAC/RWA streams; exact catalog/entitlement dynamic","Low-latency pull reports; prices, market status and some liquidity-weighted bid/ask; not a full L2 book","Authenticated Data Streams service; onchain report verification","Sub-second delivery; product-specific reports; free tier ends 2026-09-01; paid subscription encouraged","Free tier until 2026-09-01 then paid; exact paid price not public in reviewed docs","Agreement-scoped","Agreement-scoped","Agreement-scoped","Agreement-scoped","Agreement-scoped","chainlink_streams; correlated with Chainlink feeds if overlapping upstreams","https://chain.link/data-streams|https://docs.chain.link/data-streams/release-notes|https://data.chain.link/streams","Partner candidate, not a rights shortcut. Obtain precise instrument list, session logic, retention and redistribution/onchain publication rights.","2026-07-16"
"RedStone","oracle","Crypto and RWAs including NAV, indices, FX, commodities and custom feeds","Push/pull oracle reference; RedStone Live claims institutionally sourced, asset-specific weighted composites; not native L2","Public onchain feeds plus partner/custom integrations","Feed-specific timestamps/heartbeat; no general public rate-limit/history entitlement found","Quote required for custom/Live services; public onchain read costs are RPC/gas","Onchain consumption intended","Unknown","Unknown","Unknown","Unknown for Blocksize republication","redstone_aggregate; custom feed and issuer NAV lineage must be preserved","https://blog.redstone.finance/2026/05/20/extended-chose-redstone-live-as-the-data-layer-behind-their-real-world-markets/|https://blog.redstone.finance/2025/02/06/introducing-redstone-distributed-data-association/","Potential RWA/oracle partner. Marketing claims do not disclose exact upstreams or license rights; require contract and methodology schedule.","2026-07-16"
"Supra DORA / API","oracle","Wide crypto pairs and some commodities; exact current pair list","DORA S-value: node medians clustered then mean; push/pull onchain reference; REST/WebSocket API includes real-time/historical crypto/OHLC","Early-access API key for REST/WebSocket; public onchain push/pull contracts","WebSocket OHLC; timestamp/round/decimals onchain; up to 21 sources claimed; no production SLA/rate limit public","Quote required; early access","Agreement-scoped","Unknown","Unknown","Unknown","Unknown","supra_aggregate; source identities not exposed in aggregate","https://docs.supra.com/oracles/data-feeds|https://docs.supra.com/oracles/apis-real-time-and-historical-data|https://docs.supra.com/oracles/apis-real-time-and-historical-data/websocket-api|https://docs.supra.com/oracles/data-feeds/push-oracle","Reference candidate only. Pair coverage and rights must be verified under early-access agreement.","2026-07-16"
"API3","oracle","Large dynamic EVM dAPI catalog","First-party API-provider signed beacons/beacon sets; base updates may be delayed 0-20 s for OEV; reference price not depth","Public onchain dAPIs; market activation plan if inactive; public signed-data path for searchers","Timestamp returned by reader; heartbeat/deviation selected per plan; active feed shared by all users","Three-month mainnet plans priced at estimated gas cost or $0.05/day minimum; live exact price in API3 Market","Onchain consumption intended","Unknown","Unknown","Public signed data is available to searchers but retention terms not stated","Unknown for branded republishing","api3_beacon_set; each API provider can be lineage-tagged, but an aggregate dAPI is one composite","https://docs.api3.org/dapps/integration/|https://docs.api3.org/dapps/quickstart/|https://docs.api3.org/oev/in-depth/data-feeds/|https://docs.api3.org/dapps/integration/security-considerations.html","Low-cost reference candidate on EVM. Account for deliberate base-feed delay and exact provider set; not executable.","2026-07-16"
"Switchboard","oracle","Custom on/offchain feeds across 10+ chains; prominent Solana DeFi coverage","Permissionless customizable pull feed/TEEs; standard ~400 ms oracle and 2-5 ms paid Surge claims; reference values, not executable depth","Crossbar plus onchain update/verify; Surge requires active subscription","Quote account/feed result includes decimals and slot; caller cranks/pays fee; staleness checks required","On-demand fee via contract/network; Surge subscription price not public, so quote required","Onchain consumption intended","Unknown","Unknown","Unknown","Unknown for Blocksize republication","switchboard_feed; custom job upstreams must be disclosed before independence claims","https://docs.switchboard.xyz/|https://docs.switchboard.xyz/ai-agents-llms/switchboard-agent-skill/switchboard-evm-feeds|https://docs.switchboard.xyz/docs-by-chain/solana-svm/surge/surge","Good for custom onchain publication plumbing, not a substitute for upstream rights. Exact job definition and sources are mandatory.","2026-07-16"
"Chronicle","oracle","Crypto and selected RWA/fundamental/hybrid rates","Scribe onchain reference; dashboard labels market, fundamental or hybrid price type and risk tier; not executable depth","Public onchain contracts/dashboard; additional services may require agreement/payment","Onchain timestamps/blocks and historical verifiability positioning; feed-specific update thresholds","No public price; additional services/payment may apply","Onchain consumption is a protocol use case, subject to terms","Unknown","Unknown","Unknown","Unknown; terms retain rights in data feeds and prohibit some competitive/automated uses","chronicle_aggregate; source identities/quality tier should remain attached","https://chroniclelabs.org/data|https://chroniclelabs.org/termsofuse|https://chroniclelabs.org/dashboard/oracle/ALUSD/USD","Use only after legal review: current terms retain data-feed rights and restrict scraping/competitive use. Native integration differs from commercial redistribution.","2026-07-16"
"Twelve Data Business / US Equities","commercial market-data partner","Global equities, ETFs, FX, indices, commodities and other listed/reference markets; default US real-time feed covers all listed symbols but approximately 5% of US trading volume","Trade/quote/reference API data; default US feed is representative rather than consolidated full-market NBBO or L2 depth","REST and WebSocket with API key; Enterprise advertises 10,946 API credits and 10,000 WebSocket symbol credits","Enterprise advertises 99.99% SLA; history and corporate-action fields are product-specific; more than 10,000 simultaneous symbols requires a custom plan","Enterprise is USD 1,099/month monthly or USD 916/month annual-equivalent; Enterprise+ and redistribution/full-market add-ons are quote required","Business use depends on tier and exchange rules","Customer may create non-reversible derived data only within the agreement","Separate Redistribution Rights Add-On or written agreement required; full-market licensed access is quote required","Retention is limited by subscription and third-party-provider rules; deletion may be required after termination","Not granted by standard terms; explicit written permission required","twelve_data_default_us_venue_set or licensed_full_market_upstream; do not count the vendor and its component venues as independent without lineage","https://twelvedata.com/pricing-business|https://support.twelvedata.com/en/articles/9935903-us-equities-market-data|https://support.twelvedata.com/en/articles/5332349-commercial-and-personal-usage|https://twelvedata.com/terms","Best price-screen partner candidate for the client-used universe, but 11,472 symbols exceed advertised 10,000 WebSocket credits and commercial API redistribution/onchain publication remain quote and agreement gates. Default feed is not SIP/NBBO or executable full depth.","2026-07-16"
"Databento US Equities","commercial market-data partner","US equities and exchange-specific futures/options datasets","Dataset-dependent trades, MBP/L1-L3 books and historical replay; exact semantics depend on schema and licensed dataset","Authenticated live and historical APIs/SDKs","Live and deep history depend on plan/schema; exchange licensing questionnaire controls entitlements","Databento US Equities monthly subscription is USD 4,000 effective 2026-06-22; general Standard is USD 179/month and Plus shows USD 1,500/month license fees with annual contract, but actual dataset/license fees vary","Agreement and dataset scoped","Agreement and exchange-license scoped","Plus advertises external distribution, subject to dataset/exchange licensing and actual questionnaire fees","Agreement and exchange rules control retention","Quote and written permission required","databento_dataset_plus_underlying_venues; a vendor composite is not independent from its licensed venue inputs","https://databento.com/pricing|https://databento.com/blog/updates-to-subscription-pricing|https://databento.com/docs/portal","Technically strong depth/replay partner, but current full US Equities price equals the assumed avoided subscription before extra rights. Use as benchmark for negotiations, not a demonstrated savings path.","2026-07-16"
"QuickNode","managed RPC infrastructure","Multi-chain RPC, logs, streams, WebSockets and Solana gRPC on higher tiers","Transport for exact onchain state; RPC metadata is not a price","API key RPC/WebSocket/streams","Monthly plans advertise 50/125/250/500 RPS and 80M/450M/950M/2B credits; archive/log windows and gRPC differ by tier","Monthly Build USD 49, Accelerate USD 249, Scale USD 499, Business USD 999; enterprise quote required","Internal use under service terms","Not a market-data rights grant","Not a grant to redistribute upstream market data","Retention depends on streams/storage configuration and terms","No upstream price-publication rights arise from RPC access","quicknode_rpc_transport; preserve the underlying chain/protocol lineage","https://www.quicknode.com/pricing","Low-cost managed transport candidate for pilots. Select by measured request, log/archive, WebSocket, gRPC, storage and egress load; retain a second RPC for failover before production.","2026-07-16"
