venue,provider_id,provider_name,category,feed_count,rights_status,legal_rights_cleared,source_access_ready,production_access_ready,can_source_for_internal_benchmark,can_redistribute_production,can_use_for_consensus,consensus_role,requires_license_or_contract,source_rights_risk,required_dependency_ids,missing_dependency_ids,blocked_dependency_ids,required_policy_env,missing_policy_env,production_requirement,next_action
gains,gains,gains,tokenized_security,110,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,high,"[""redistribution_policy""]",[],[],"[""GAINS_API_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"issuer/venue terms, transfer restriction review, jurisdiction review, and redistribution policy signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
hyperliquid_paxg,hyperliquid_rwa_spot,Hyperliquid RWA spot,tokenized_security,2,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,high,"[""redistribution_policy""]",[],[],"[""HYPERLIQUID_API_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"Hyperliquid API/data-use terms review, identity review, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
hyperliquid_perps,hyperliquid_perps,Hyperliquid perps,dex_liquidity,2,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,medium,"[""redistribution_policy""]",[],[],"[""HYPERLIQUID_API_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"Hyperliquid API/data-use terms review, leverage/perp risk labeling, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
hyperliquid_rwa_spot,hyperliquid_rwa_spot,Hyperliquid RWA spot,tokenized_security,56,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,high,"[""redistribution_policy""]",[],[],"[""HYPERLIQUID_API_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"Hyperliquid spot identity review, issuer review, API/data-use terms, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
hyperliquid_spot,hyperliquid_spot,Hyperliquid spot,tokenized_security,64,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,high,"[""redistribution_policy""]",[],[],"[""HYPERLIQUID_API_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],Hyperliquid spot API/data-use terms plus issuer identity review for RWA-like spot rows,"Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
jupiter_router,jupiter_router,Jupiter Solana router,dex_liquidity,28,production_rights_cleared,True,False,False,False,True,False,rights_cleared_pending_source_access,False,medium,"[""jupiter_api_key"", ""jupiter_route_allowlist"", ""redistribution_policy""]","[""jupiter_api_key""]",[],"[""JUPITER_API_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"Jupiter API terms review, quote-data retention policy, and redistribution signoff","Rights gate is clear; configure source access, identifiers, and replay evidence before live use."
lighter,lighter,Lighter,dex_liquidity,120,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,medium,"[""redistribution_policy""]",[],[],"[""RWA_MARKET_DATA_POLICY_ACK""]",[],"venue API/data-use terms, derivative-data labeling, derived-data policy, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
meteora_dlmm,meteora_dlmm,Meteora DLMM,dex_liquidity,18,production_rights_cleared,True,False,False,False,True,False,rights_cleared_pending_source_access,False,medium,"[""solana_rpc_indexer"", ""solana_pool_allowlist"", ""redistribution_policy""]","[""solana_rpc_indexer""]",[],"[""SOLANA_RPC_PROVIDER_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"provider/API terms, RPC terms, public-chain data policy, and redistribution policy signoff","Rights gate is clear; configure source access, identifiers, and replay evidence before live use."
orca_whirlpool,orca_whirlpool,Orca Whirlpool,dex_liquidity,12,production_rights_cleared,True,False,False,False,True,False,rights_cleared_pending_source_access,False,medium,"[""solana_rpc_indexer"", ""solana_pool_allowlist"", ""redistribution_policy""]","[""solana_rpc_indexer""]",[],"[""SOLANA_RPC_PROVIDER_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"provider/API terms, RPC terms, public-chain data policy, and redistribution policy signoff","Rights gate is clear; configure source access, identifiers, and replay evidence before live use."
orderly,orderly,Orderly Network,dex_liquidity,70,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,medium,"[""redistribution_policy""]",[],[],"[""RWA_MARKET_DATA_POLICY_ACK""]",[],"venue API/data-use terms, derivative-data labeling, derived-data policy, and redistribution signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
ostium,ostium,Ostium,tokenized_security,124,production_rights_cleared,True,True,True,True,True,True,eligible_after_quality_gates,False,high,"[""redistribution_policy""]",[],[],"[""OSTIUM_API_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"issuer/venue terms, transfer restriction review, jurisdiction review, and redistribution policy signoff","Rights gate is clear; continue with replay, liquidity, freshness, and manipulation gates."
raydium_clmm,raydium_clmm,Raydium CLMM / CPMM,dex_liquidity,14,production_rights_cleared,True,False,False,False,True,False,rights_cleared_pending_source_access,False,medium,"[""solana_rpc_indexer"", ""solana_pool_allowlist"", ""redistribution_policy""]","[""solana_rpc_indexer""]",[],"[""SOLANA_RPC_PROVIDER_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"provider/API terms, RPC terms, public-chain data policy, and redistribution policy signoff","Rights gate is clear; configure source access, identifiers, and replay evidence before live use."
treasury_nav,treasury_nav,Treasury/fund issuer NAV references,issuer_nav_reserve,7,production_rights_cleared,True,False,False,False,True,False,supplemental_reference_only,True,high,"[""treasury_issuer_pack"", ""redistribution_policy""]",[],"[""treasury_issuer_pack""]","[""ISSUER_NAV_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],"issuer/admin NAV permission, reserve/attestation terms, and redistribution signoff","Rights gate is clear; configure source access, identifiers, and replay evidence before live use."
uniswap_v3_v4,uniswap_v3_v4,Uniswap v3/v4 pools,dex_liquidity,14,production_rights_cleared,True,False,False,False,True,False,rights_cleared_pending_source_access,False,medium,"[""evm_rpc_multichain"", ""evm_pool_allowlist"", ""redistribution_policy""]","[""evm_rpc_multichain""]",[],"[""EVM_RPC_PROVIDER_TERMS_ACK"", ""RWA_MARKET_DATA_POLICY_ACK""]",[],direct onchain pool-state reads plus RPC/indexer terms and redistribution policy signoff,"Rights gate is clear; configure source access, identifiers, and replay evidence before live use."
