provider,category,category_label,price_semantics,lineage_group,external_redistribution_evidence,documented_rights_text,decision_note,official_sources
NOBI Labs,oracle_publisher,Oracle Publisher,Publisher claims real-time feeds and 24/7 commodity coverage; Pyth announced NOBI contributes proprietary data. Exact aggregation and upstream construction are not public,"nobi_proprietary; if observed only inside Pyth aggregate, cannot be counted separately",Not externally documented,Unknown,Do not infer how NOBI licenses or derives TradFi data. Public evidence does not establish reproducible upstream lineage or copyable rights.,https://labs.usenobi.com/|https://www.pyth.network/blog/new-pyth-data-provider-nobi|https://legacy.pyth.network/publishers
TTMzero,oracle_publisher_vendor,Oracle Publisher Vendor,"Model-driven evaluated prices/indications and valuations; TTMzero says it has direct access to major exchanges, broker platforms and interbank markets",ttmzero_evaluated; Pyth observation is not independent from direct TTMzero for overlapping instruments,Agreement or license required,Agreement-scoped,"Plausible partner for evaluated TradFi prices, but methodology, source list, licenses and rights are contract-specific. Do not copy or infer upstream arrangements.",https://ttmzero.com/about-us/|https://ttmzero.com/|https://www.pyth.network/blog/new-pyth-data-provider
Chainlink Data Feeds / SmartData,oracle,Oracle,Aggregated market-representative reference or issuer/fundamental/hybrid SmartData; push heartbeat/deviation; not executable depth,chainlink_aggregate; SmartData/NAV must keep issuer administrator lineage; multiple chain deployments are not independent,Not externally documented,Unknown for repackaged commercial API,"Strong reference/NAV source. Never label as executable; verify heartbeat, deviation, session and deprecation state per exact feed.",https://chain.link/data-feeds|https://data.chain.link/|https://docs.chain.link/|https://chain.link/faqs
Chainlink Data Streams,oracle_commercial,Oracle Commercial,"Low-latency pull reports; prices, market status and some liquidity-weighted bid/ask; not a full L2 book",chainlink_streams; correlated with Chainlink feeds if overlapping upstreams,Agreement or license required,Agreement-scoped,"Partner candidate, not a rights shortcut. Obtain precise instrument list, session logic, retention and redistribution/onchain publication rights.",https://chain.link/data-streams|https://docs.chain.link/data-streams/release-notes|https://data.chain.link/streams
RedStone,oracle,Oracle,"Push/pull oracle reference; RedStone Live claims institutionally sourced, asset-specific weighted composites; not native L2",redstone_aggregate; custom feed and issuer NAV lineage must be preserved,Not externally documented,Unknown,Potential RWA/oracle partner. Marketing claims do not disclose exact upstreams or license rights; require contract and methodology schedule.,https://blog.redstone.finance/2026/05/20/extended-chose-redstone-live-as-the-data-layer-behind-their-real-world-markets/|https://blog.redstone.finance/2025/02/06/introducing-redstone-distributed-data-association/
Supra DORA / API,oracle,Oracle,DORA S-value: node medians clustered then mean; push/pull onchain reference; REST/WebSocket API includes real-time/historical crypto/OHLC,supra_aggregate; source identities not exposed in aggregate,Not externally documented,Unknown,Reference candidate only. Pair coverage and rights must be verified under early-access agreement.,https://docs.supra.com/oracles/data-feeds|https://docs.supra.com/oracles/apis-real-time-and-historical-data|https://docs.supra.com/oracles/apis-real-time-and-historical-data/websocket-api|https://docs.supra.com/oracles/data-feeds/push-oracle
API3,oracle,Oracle,First-party API-provider signed beacons/beacon sets; base updates may be delayed 0-20 s for OEV; reference price not depth,"api3_beacon_set; each API provider can be lineage-tagged, but an aggregate dAPI is one composite",Not externally documented,Unknown,Low-cost reference candidate on EVM. Account for deliberate base-feed delay and exact provider set; not executable.,https://docs.api3.org/dapps/integration/|https://docs.api3.org/dapps/quickstart/|https://docs.api3.org/oev/in-depth/data-feeds/|https://docs.api3.org/dapps/integration/security-considerations.html
Switchboard,oracle,Oracle,"Permissionless customizable pull feed/TEEs; standard ~400 ms oracle and 2-5 ms paid Surge claims; reference values, not executable depth",switchboard_feed; custom job upstreams must be disclosed before independence claims,Not externally documented,Unknown,"Good for custom onchain publication plumbing, not a substitute for upstream rights. Exact job definition and sources are mandatory.",https://docs.switchboard.xyz/|https://docs.switchboard.xyz/ai-agents-llms/switchboard-agent-skill/switchboard-evm-feeds|https://docs.switchboard.xyz/docs-by-chain/solana-svm/surge/surge
Chronicle,oracle,Oracle,"Scribe onchain reference; dashboard labels market, fundamental or hybrid price type and risk tier; not executable depth",chronicle_aggregate; source identities/quality tier should remain attached,Not externally documented,Unknown,Use only after legal review: current terms retain data-feed rights and restrict scraping/competitive use. Native integration differs from commercial redistribution.,https://chroniclelabs.org/data|https://chroniclelabs.org/termsofuse|https://chroniclelabs.org/dashboard/oracle/ALUSD/USD
Twelve Data Business / US Equities,commercial market-data partner,Commercial Market-Data Partner,Trade/quote/reference API data; default US feed is representative rather than consolidated full-market NBBO or L2 depth,twelve_data_default_us_venue_set or licensed_full_market_upstream; do not count the vendor and its component venues as independent without lineage,Agreement or license required,Separate Redistribution Rights Add-On or written agreement required; full-market licensed access is quote required,"Best price-screen partner candidate for the client-used universe, but 11,472 symbols exceed advertised 10,000 WebSocket credits and commercial API redistribution/onchain publication remain quote and agreement gates. Default feed is not SIP/NBBO or executable full depth.",https://twelvedata.com/pricing-business|https://support.twelvedata.com/en/articles/9935903-us-equities-market-data|https://support.twelvedata.com/en/articles/5332349-commercial-and-personal-usage|https://twelvedata.com/terms
Databento US Equities,commercial market-data partner,Commercial Market-Data Partner,"Dataset-dependent trades, MBP/L1-L3 books and historical replay; exact semantics depend on schema and licensed dataset",databento_dataset_plus_underlying_venues; a vendor composite is not independent from its licensed venue inputs,Agreement or license required,"Plus advertises external distribution, subject to dataset/exchange licensing and actual questionnaire fees","Technically strong depth/replay partner, but current full US Equities price equals the assumed avoided subscription before extra rights. Use as benchmark for negotiations, not a demonstrated savings path.",https://databento.com/pricing|https://databento.com/blog/updates-to-subscription-pricing|https://databento.com/docs/portal
QuickNode,managed RPC infrastructure,Managed Rpc Infrastructure,Transport for exact onchain state; RPC metadata is not a price,quicknode_rpc_transport; preserve the underlying chain/protocol lineage,Restricted / not granted,Not a grant to redistribute upstream market data,"Low-cost managed transport candidate for pilots. Select by measured request, log/archive, WebSocket, gRPC, storage and egress load; retain a second RPC for failover before production.",https://www.quicknode.com/pricing
Alchemy,managed RPC infrastructure,Managed Rpc Infrastructure,"Transport for exact onchain state; RPC responses, balances and logs are not prices without a named pricing contract/pool simulation",alchemy_rpc_transport; preserve the underlying chain/protocol lineage,Restricted / not granted,Not a grant to redistribute upstream market data,Economical secondary or usage-based RPC candidate. Benchmark real method mix and Solana gRPC/egress before selecting; use independent transport for failover.,https://www.alchemy.com/pricing|https://www.alchemy.com/docs/reference/pricing-plans
